年份,題號,答案,章節,答對率,鑑別度
103,01,(D),m4ngs-1 根式,0.64,0.67
103,02,(C),m4nyb-1 因數與倍數,0.74,0.55
103,03,(C),m4ngs-1 根式,0.68,0.58
103,04,(A),m4djl-1 基礎機率,0.67,0.52
103,05,(A),m4adx-2 乘法公式,0.73,0.49
103,06,(A),m4aei-2 二元一次聯立方程式,0.63,0.65
103,07,(C),m4axh-1 線性函數,0.63,0.54
103,08,(A),m4sjh-2 線對稱圖形,0.57,0.59
103,09,(C),m4szm-1 幾何證明與三心,0.63,0.54
103,10,(B),m4syu-1 圓,0.57,0.51
103,11,(B),m4ngs-1 根式,0.55,0.55
103,12,(B),m4sxs-1 相似形,0.53,0.41
103,13,(A),m4aei-1 平面坐標系,0.6,0.57
103,14,(B),m4njk-1 指數、科學記號,0.49,0.46
103,15,(D),m4adx-1 多項式,0.4,0.49
103,16,(B),m4syu-1 圓,0.55,0.5
103,17,(C),m4ays-1 因式分解,0.55,0.55
103,18,(C),m4ssa-1 三角形的基本性質,0.39,0.48
103,19,(C),m4nbl-1 比與比例,0.39,0.4
103,20,(D),m4ssa-1 三角形的基本性質,0.4,0.56
103,21,(D),m4szm-1 幾何證明與三心,0.37,0.39
103,22,(C),m4abd-1 不等式(一元一次),0.43,0.41
103,23,(A),m4nsl-1 數列與級數,0.4,0.6
103,24,(B),m4sps-1 平行與四邊形,0.35,0.36
103,25,(D),m4dtj-1 基礎統計,0.28,0.39
103,26,(D),m4aeh-1 二次函數,0.34,0.4
103,27,(B),m4szm-1 幾何證明與三心,0.35,0.3
104,01,(D),m4nfs-2 數的四則運算,0.82,0.54
104,02,(B),m4aei-2 二元一次聯立方程式,0.84,0.45
104,03,(B),m4dtj-1 基礎統計,0.69,0.49
104,04,(D),m4nfs-2 數的四則運算,0.68,0.58
104,05,(A),m4syu-1 圓,0.62,0.56
104,06,(C),m4adx-1 多項式,0.66,0.52
104,07,(A),m4slt-1 立體圖形,0.58,0.53
104,08,(B),m4ngs-1 根式,0.62,0.57
104,09,(C),m4abd-1 不等式(一元一次),0.58,0.41
104,10,(C),m4syu-1 圓,0.63,0.59
104,11,(D),m4sjh-2 線對稱圖形,0.64,0.56
104,12,(C),m4djl-1 基礎機率,0.65,0.54
104,13,(D),m4nbl-1 比與比例,0.4,0.42
104,14,(C),m4aie-1 一元二次方程式,0.55,0.54
104,15,(D),m4szm-1 幾何證明與三心,0.42,0.51
104,16,(B),m4adx-2 乘法公式,0.55,0.36
104,17,(C),m4nsl-1 數列與級數,0.46,0.39
104,18,(C),m4szm-1 幾何證明與三心,0.41,0.29
104,19,(A),m4aei-2 二元一次聯立方程式,0.46,0.47
104,20,(B),m4ssa-1 三角形的基本性質,0.4,0.45
104,21,(B),m4aeh-1 二次函數,0.41,0.41
104,22,(D),m4nbl-1 比與比例,0.31,0.52
104,23,(D),m4sxs-1 相似形,0.4,0.45
104,24,(A),m4nyb-1 因數與倍數,0.26,0.45
104,25,(A),m4szm-1 幾何證明與三心,0.28,0.39
105,01,(A),m4aei-2 二元一次聯立方程式,0.85,0.51
105,02,(A),m4nfs-2 數的四則運算,0.84,0.52
105,03,(A),m4adx-1 多項式,0.7,0.6
105,04,(C),m4sjh-1 幾何圖形與尺規作圖,0.77,0.6
105,05,(C),m4nfs-1 數線與絕對值,0.74,0.46
105,06,(C),m4aie-1 一元二次方程式,0.65,0.51
105,07,(A),m4dtj-1 基礎統計,0.65,0.59
105,08,(C),m4sps-1 平行與四邊形,0.64,0.61
105,09,(B),m4nsl-1 數列與級數,0.71,0.53
105,10,(B),m4djl-1 基礎機率,0.57,0.61
105,11,(D),m4aei-1 平面坐標系,0.55,0.58
105,12,(D),m4ssa-1 三角形的基本性質,0.46,0.49
105,13,(B),m4ngs-1 根式,0.55,0.51
105,14,(B),m4syu-1 圓,0.52,0.55
105,15,(D),m4sjh-1 幾何圖形與尺規作圖,0.43,0.5
105,16,(D),m4sxs-1 相似形,0.46,0.51
105,17,(B),m4nyb-1 因數與倍數,0.47,0.4
105,18,(D),m4slt-1 立體圖形,0.36,0.53
105,19,(C),m4axh-1 線性函數,0.36,0.39
105,20,(A),m4syu-1 圓,0.39,0.52
105,21,(D),m4aeh-1 二次函數,0.47,0.6
105,22,(A),m4szm-1 幾何證明與三心,0.38,0.43
105,23,(C),m4szm-1 幾何證明與三心,0.5,0.44
105,24,(B),m4nbl-1 比與比例,0.37,0.31
105,25,(C),m4sjh-2 線對稱圖形,0.33,0.39
