,總　　計,0 ～ 4 歲,0 ～ 6 歲,0 ～ 11 歲,12 ～ 17 歲,20歲以上,65歲以上
1974,"15,927,167","1,802,339","2,577,140","4,558,704","2,359,380","8,253,510","537,331"
1975,"16,223,089","1,792,451","2,563,009","4,519,245","2,398,536","8,558,481","568,068"
1976,"16,579,737","1,831,226","2,590,633","4,533,505","2,417,196","8,877,451","603,525"
1977,"16,882,053","1,863,447","2,597,035","4,526,765","2,413,749","9,160,290","647,024"
1978,"17,202,491","1,911,156","2,631,930","4,530,745","2,411,354","9,466,576","686,387"
1979,"17,543,067","1,965,802","2,686,936","4,577,062","2,379,094","9,788,533","727,783"
1980,"17,866,008","1,997,423","2,722,659","4,585,291","2,357,676","10,119,628","766,140"
1981,"18,193,955","1,992,998","2,779,823","4,612,894","2,334,328","10,435,843","802,845"
1982,"18,515,754","2,005,926","2,816,723","4,632,109","2,313,381","10,761,304","842,227"
1983,"18,790,538","1,988,677","2,784,250","4,650,547","2,289,541","11,057,305","879,353"
1984,"19,069,194","1,929,414","2,752,104","4,645,380","2,249,999","11,384,751","925,580"
1985,"19,313,825","1,866,549","2,689,986","4,625,876","2,238,037","11,685,421","977,055"
1986,"19,509,082","1,777,521","2,593,218","4,582,637","2,207,437","11,967,873","1,030,542"
1987,"19,725,010","1,684,379","2,491,294","4,518,973","2,188,208","12,252,004","1,093,427"
1988,"19,954,397","1,643,894","2,420,022","4,438,684","2,224,075","12,529,032","1,145,787"
1989,"20,156,587","1,606,605","2,351,885","4,377,647","2,235,641","12,794,738","1,201,321"
1990,"20,401,305","1,613,288","2,324,026","4,322,260","2,274,573","13,079,468","1,268,631"
1991,"20,605,831","1,623,446","2,277,826","4,228,042","2,328,061","13,338,634","1,345,429"
1992,"20,802,622","1,629,553","2,254,498","4,143,819","2,373,277","13,576,697","1,416,133"
1993,"20,995,416","1,614,598","2,272,561","4,059,387","2,414,096","13,809,521","1,490,801"
1994,"21,177,874","1,601,632","2,260,270","3,959,675","2,405,088","14,039,670","1,562,356"
1995,"21,357,431","1,590,485","2,237,900","3,895,915","2,394,059","14,273,013","1,631,054"
1996,"21,525,433","1,590,975","2,244,276","3,846,136","2,356,678","14,543,281","1,691,608"
1997,"21,742,815","1,599,094","2,237,912","3,836,548","2,280,959","14,816,282","1,752,056"
1998,"21,928,591","1,545,889","2,193,379","3,811,236","2,181,983","15,123,913","1,810,231"
1999,"22,092,387","1,507,221","2,156,840","3,785,640","2,083,263","15,417,539","1,865,472"
2000,"22,276,672","1,489,242","2,137,162","3,751,124","2,027,945","15,698,216","1,921,308"
2001,"22,405,568","1,426,759","2,074,803","3,700,255","1,962,266","15,975,337","1,973,357"
2002,"22,520,776","1,350,829","1,997,579","3,611,832","1,932,701","16,240,758","2,031,300"
2003,"22,604,550","1,309,903","1,901,046","3,517,927","1,912,023","16,476,882","2,087,734"
2004,"22,689,122","1,243,939","1,794,460","3,413,894","1,931,153","16,709,375","2,150,475"
2005,"22,770,383","1,144,355","1,733,790","3,294,247","1,948,681","16,921,080","2,216,804"
2006,"22,876,527","1,092,942","1,656,577","3,176,997","1,930,184","17,122,228","2,287,029"
2007,"22,958,360","1,052,585","1,556,229","3,058,061","1,944,062","17,307,389","2,343,092"
2008,"23,037,031","1,026,206","1,500,343","2,936,650","1,931,654","17,525,876","2,402,220"
2009,"23,119,772","1,002,160","1,448,625","2,808,328","1,936,831","17,723,427","2,457,648"
2010,"23,162,123","964,093","1,391,454","2,711,482","1,884,285","17,929,658","2,487,893"
2011,"23,224,912","956,990","1,372,775","2,628,612","1,840,738","18,110,885","2,528,249"
2012,"23,315,822","983,683","1,397,264","2,555,512","1,824,691","18,288,620","2,600,152"
2013,"23,373,517","986,951","1,392,786","2,500,859","1,757,526","18,469,964","2,694,406"
2014,"23,433,753","1,005,126","1,400,255","2,468,063","1,681,729","18,638,652","2,808,690"
2015,"23,492,074","1,052,455","1,417,380","2,457,079","1,586,278","18,804,459","2,938,579"
2016,"23,539,816","1,063,063","1,433,572","2,449,649","1,537,553","18,963,159","3,106,105"
2017,"23,571,227","1,022,399","1,461,143","2,437,779","1,462,883","19,121,282","3,268,013"
2018,"23,588,932","1,008,979","1,444,449","2,414,712","1,363,808","19,222,440","3,433,517"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
