,學生總數,研究所,大學部,專任教師,師生比,校地,可使用校地,校舍基地,露天運動場,其他校地
國立臺灣大學,31802,15244,16558,2045,16,1368284,1368284,471921,33529,862834
國立政治大學,16353,6721,9632,722,23,1093284,1074092,89646,70032,914414
國立清華大學,16664,7772,8892,824,20,1139065,1037931,140670,48113,849148
國立臺灣師範大學,15426,7341,8085,826,19,532952,532952,137675,93866,301411
國立成功大學,21252,9771,11481,1326,16,1855748,1855748,238668,45345,1571735
國立中興大學,14877,5854,9023,769,19,531525,531525,100470,30909,400146
國立交通大學,14169,8714,5455,722,20,878888,878888,111359,98478,669051
國立中央大學,11924,5807,6117,653,18,617026,617026,102946,22143,491937
國立中山大學,9466,4726,4740,509,19,734097,289469,64530,70000,154939
國立臺灣海洋大學,8652,2251,6401,414,21,328675,242253,53299,15383,173571
國立中正大學,11512,4784,6728,542,21,1307289,1307289,122626,12738,1171925
國立高雄師範大學,6654,3167,3487,290,23,646564,646564,130740,33837,481987
國立彰化師範大學,8235,3340,4895,373,22,516771,516771,46146,33647,436978
國立陽明大學,4332,2225,2107,398,11,499665,499665,41918,28740,429007
國立東華大學,10154,2495,7659,492,21,2469583,2469583,374303,77725,2017555
私立東海大學,16429,2293,14136,533,31,1356529,1356529,110260,72377,1173892
私立輔仁大學,27017,4282,22735,698,39,343456,343456,71488,45120,226848
私立中原大學,16342,2818,13524,482,34,349263,349263,59009,49725,240529
私立淡江大學,26032,3397,22635,759,34,624928,624928,46374,47550,531004
私立逢甲大學,21146,3202,17944,649,33,212696,212696,45287,35496,131913
