排名,名稱[A][2],城市,國家,所在洲,高度,樓層,落成年份
1,哈里發塔,杜拜,阿聯,亞洲,828米,169,2010
2,上海中心大廈,上海,中國,亞洲,632米,128,2015
3,麥加皇家鐘塔飯店,麥加,沙烏地阿拉伯,亞洲,601米,120,2012
4,平安金融中心,深圳,中國,亞洲,600米,115,2017
5,高銀金融117,天津,中國,亞洲,597米,117,2018
6,樂天世界塔,首爾,韓國,亞洲,556米,123,2016
7,世界貿易中心一號大樓,紐約,美國,北美洲,541米,104,2013
8,廣州周大福金融中心,廣州,中國,亞洲,530米,116,2015
9,天津周大福金融中心,天津,中國,亞洲,530米,96,2018
10,中國尊,北京,中國,亞洲,528米,108,2018
11,韋萊集團大廈（2009年前稱西爾斯大樓）,芝加哥,美國,北美洲,527米,108,1973
12,台北101,台北,中華民國（臺灣）,亞洲,509.2米,101,2004
13,The Exchange 106,吉隆玻,馬來西亞,亞洲,492米,106,2018
14,上海環球金融中心,上海,中國,亞洲,492米,101,2008
15,香港環球貿易廣場,香港,香港,亞洲,484米,118,2010
16,拉赫塔中心,聖彼得堡,俄羅斯,亞洲,462米,87,2018
17,地標塔81,胡志明市,越南,亞洲,461.2米,81,2018
18,約翰漢考克中心,芝加哥,美國,北美洲,457米,100,1970
19,雙峰塔1,吉隆玻,馬來西亞,亞洲,452米,88,1998
20,雙峰塔2,吉隆玻,馬來西亞,亞洲,452米,88,1998
21,長沙國際金融中心,長沙,中國,亞洲,452米,95,2017
22,紫峰大廈,南京,中國,亞洲,450米,89,2009
23,蘇州九龍倉國際金融中心,蘇州,中國,亞洲,450米,92,2009
24,帝國大廈,紐約,美國,北美洲,443.2米,102,1931
25,京基100,深圳,中國,亞洲,441米,100,2011
26,廣州國際金融中心,廣州,中國,亞洲,440米,103,2010
27,武漢中心,武漢,中國,亞洲,438米,88,2017
28,公園大道432號,紐約,美國,北美洲,426米,89,2015
29,Marina 101,杜拜,阿聯,亞洲,425 米,101,2017
30,川普國際酒店大廈,芝加哥,美國,北美洲,423米,98,2009
31,金茂大廈,上海,中國,亞洲,420.5米,88,1998
32,國際金融中心二期,香港,香港,亞洲,420米,88,2003
33,公主塔,杜拜,阿聯,亞洲,414米,101,2012
