學校名稱,區域,縣市,高中職創立時間（創校時間）,學校地址,校地（公頃）,代碼,網址
國立基隆女子高級中學,北區,基隆市,1924年,信義區東信路324號,3.9209,256,首頁
國立基隆高級中學,北區,基隆市,1927年,暖暖區源遠路20號,9.6475,255,首頁
私立二信高級中學,北區,基隆市,1967年（1964年）,中正區立德路243號,3.4408,266,首頁
天主教輔大聖心高級中學,北區,基隆市,1971年1,中山區西定路166號,3.9821,262,首頁
基隆市立中山高級中學,北區,基隆市,1998年（1962年）,中山區文化路162號,3.663,265,首頁
基隆市立暖暖高級中學,北區,基隆市,1999年（1968年）,暖暖區暖中路112號,3.9,277,首頁
基隆市立安樂高級中學,北區,基隆市,2000年（1967年）,安樂區安一路360號,4.0444,276,首頁
基隆市立八斗高級中學,北區,基隆市,2011年（1983年）,中正區新豐街100號,4.265,261,首頁
臺北市立建國高級中學,北區,台北市,1898年,中正區南海路56號,6.2638,102,首頁
臺北市立第一女子高級中學,北區,台北市,1904年,中正區重慶南路一段165號,2.7936,101,首頁
臺北市私立泰北高級中學,北區,台北市,1916年,士林區福林路240號,2.4848,130,首頁
臺北市私立靜修女子高級中學,北區,台北市,1917年2,大同區寧夏路59號,1.2286,125,首頁
臺北市立中山女子高級中學,北區,台北市,1897年,中山區長安東路二段141號,3.4275,103,首頁
臺北市立成功高級中學,北區,台北市,1922年,中正區濟南路一段71號,2.2794,105,首頁
國立臺灣師範大學附屬高級中學,北區,台北市,1937年,大安區信義路3段143號,8.4266,100,首頁
臺北市私立延平高級中學,北區,台北市,1948年（1946年）,大安區建國南路一段275號,1.0408,121,首頁
臺北市私立大同高級中學,北區,台北市,1948年（1942年）,中山區中山北路三段40號,1.3492,150,首頁
臺北市私立金甌女子高級中學,北區,台北市,1948年（1946年）,大安區杭州南路二段1號,1.1717,146,首頁
臺北市私立強恕高級中學,北區,台北市,1950年（1899年）,中正區汀州路二段143號,0.8197,124,首頁
臺北市立復興高級中學,北區,台北市,1953年,北投區復興四路70號,4.7168,106,首頁
臺北市私立滬江高級中學,北區,台北市,1958年,文山區羅斯福路六段336號,1.9644,123,首頁
臺北市立景美女子高級中學,北區,台北市,1962年,文山區木新路三段312號,4.5259,104,首頁
臺北市立中正高級中學,北區,台北市,1964年（1945年）,北投區文林北路77號,7.656,107,首頁
臺北市私立衛理女子高級中學,北區,台北市,1964年（1961年）,士林區至善路二段321號,4.2764,116,首頁
臺北市私立十信高級中學,北區,台北市,1965年,北投區北投路二段55號,2.5156,142,首頁
