名稱,排名,洲,種類,沿岸國家,面積,長度,最大深度,蓄水量,縮略圖（所有湖泊同等比例）,備註
裏海*,1,亞洲,鹹水湖,"哈薩克
 俄羅斯
 土庫曼
 亞塞拜然
 伊朗","371,000 km2（143,000 sq mi）","1,199 km（745 mi）","1,025米（3,363英尺）","78,200 km3（18,800 cu mi）",,有時被看做是海洋
蘇必利爾湖,2,北美洲,淡水湖,"加拿大
 美國","82,414 km2（31,820 sq mi）",616 km（383 mi）,"406米（1,332英尺）","12,100 km3（2,900 cu mi）",,
維多利亞湖,3,非洲,淡水湖,"烏干達
 肯亞
 坦尚尼亞","69,485 km2（26,828 sq mi）",322 km（200 mi）,84米（276英尺）,"2,750 km3（660 cu mi）",,非洲最大湖泊
休倫湖,4,北美洲,淡水湖,"加拿大
 美國","59,600 km2（23,000 sq mi）",332 km（206 mi）,229米（751英尺）,"3,540 km3（850 cu mi）",,
密西根湖,5,北美洲,淡水湖,美國,"58,000 km2（22,000 sq mi）",494 km（307 mi）,281米（922英尺）,"4,900 km3（1,200 cu mi）",,
坦噶尼喀湖,6,非洲,淡水湖,"蒲隆地
 坦尚尼亞
 尚比亞
 民主剛果","32,893 km2（12,700 sq mi）",676 km（420 mi）,"1,470米（4,820英尺）","18,900 km3（4,500 cu mi）",,世界上第二深水湖泊，也是世界上最長的湖泊
貝加爾湖,7,亞洲,淡水湖,俄羅斯,"31,500 km2（12,200 sq mi）",636 km（395 mi）,"1,637米（5,371英尺）","23,600 km3（5,700 cu mi）",,世界上最深和蓄水量最大的湖泊
大熊湖,8,北美洲,淡水湖,加拿大,"31,080 km2（12,000 sq mi）",373 km（232 mi）,"446米（1,463英尺）","2,236 km3（536 cu mi）",,加拿大最大湖泊
馬拉威湖,9,非洲,淡水湖,"坦尚尼亞
 莫三比克
 馬拉威","30,044 km2（11,600 sq mi）",579 km（360 mi）,"706米（2,316英尺）","8,400 km3（2,000 cu mi）",,非洲第二深水湖泊，世界上擁有最多種類魚的湖泊
大奴湖,10,北美洲,淡水湖,加拿大,"28,930 km2（11,170 sq mi）",480 km（300 mi）,"614米（2,014英尺）","2,090 km3（500 cu mi）",,北美洲最深的湖泊
伊利湖,11,北美洲,淡水湖,"加拿大
 美國","25,719 km2（9,930 sq mi）",388 km（241 mi）,64米（210英尺）,489 km3（117 cu mi）,,
溫尼伯湖,12,北美洲,淡水湖,加拿大,"23,553 km2（9,094 sq mi）",425 km（264 mi）,36米（118英尺）,283 km3（68 cu mi）,,
安大略湖,13,北美洲,淡水湖,"加拿大
 美國","19,477 km2（7,520 sq mi）",311 km（193 mi）,244米（801英尺）,"1,639 km3（393 cu mi）",,
巴爾喀什湖*,14,亞洲,鹹水湖,哈薩克,"18,428 km2（7,115 sq mi）",605 km（376 mi）,26米（85英尺）,106 km3（25 cu mi）,,中亞最大湖泊
拉多加湖,15,歐洲,淡水湖,俄羅斯,"18,130 km2（7,000 sq mi）",219 km（136 mi）,230米（750英尺）,908 km3（218 cu mi）,,歐洲最大湖泊
沃斯托克湖,16,南極洲,淡水湖,南極洲,"15,690 km2（6,060 sq mi）",250 km（160 mi）,"900～1,000米（3,000～3,300英尺）",,,世界上最大的冰下湖
奧涅加湖,17,歐洲,淡水湖,俄羅斯,"9,891 km2（3,819 sq mi）",248 km（154 mi）,120米（390英尺）,280 km3（67 cu mi）,,歐洲第二大湖
的的喀喀湖,18,南美洲,淡水湖,"秘魯
 玻利維亞","8,135 km2（3,141 sq mi）",177 km（110 mi）,281米（922英尺）,893 km3（214 cu mi）,,
尼加拉瓜湖,19,北美洲,淡水湖,尼加拉瓜,"8,001 km2（3,089 sq mi）",177 km（110 mi）,26米（85英尺）,108 km3（26 cu mi）,,中美洲最大湖泊
阿薩巴斯卡湖,20,北美洲,淡水湖,加拿大,"7,920 km2（3,060 sq mi）",335 km（208 mi）,243米（797英尺）,204 km3（49 cu mi）,,
泰梅爾湖,21,亞洲,淡水湖,俄羅斯,"6,990 km2（2,700 sq mi）",250 km（160 mi）,26米（85英尺）,12.8 km3（3.1 cu mi）,,北極圈以北最大湖泊
圖爾卡納湖*,22,非洲,鹹水湖,"衣索比亞
 肯亞","6,405 km2（2,473 sq mi）",248 km（154 mi）,109米（358英尺）,204 km3（49 cu mi）,,世界最大的鹼性湖泊
賴恩迪爾湖,23,北美洲,淡水湖,加拿大,"6,330 km2（2,440 sq mi）",245 km（152 mi）,"337米（1,106英尺）",,,
伊塞克湖*,24,亞洲,鹹水湖,吉爾吉斯,"6,200 km2（2,400 sq mi）",182 km（113 mi）,"668米（2,192英尺）","1,738 km3（417 cu mi）",,
烏魯米耶湖*,25,亞洲,鹹水湖,伊朗,"6,001 km2（2,317 sq mi）",130 km（81 mi）,16米（52英尺）,,,中東最大湖泊
維納恩湖,26,歐洲,淡水湖,瑞典,"5,545 km2（2,141 sq mi）",140 km（87 mi）,106米（348英尺）,153 km3（37 cu mi）,,
溫尼伯戈西斯湖,27,北美洲,淡水湖,加拿大,"5,403 km2（2,086 sq mi）",245 km（152 mi）,18米（59英尺）,,,
艾伯特湖,28,非洲,淡水湖,"烏干達
 民主剛果","5,299 km2（2,046 sq mi）",161 km（100 mi）,58米（190英尺）,280 km3（67 cu mi）,,
姆韋魯湖,29,非洲,淡水湖,"尚比亞
 民主剛果","5,120 km2（1,980 sq mi）",131 km（81 mi）,27米（89英尺）,38 km3（9.1 cu mi）,,
納蒂靈湖,30,北美洲,淡水湖,加拿大,"5,066 km2（1,956 sq mi）",113 km（70 mi）,132米（433英尺）,,,世界上最大的島湖
尼皮貢湖,31,北美洲,淡水湖,加拿大,"4,843 km2（1,870 sq mi）",116 km（72 mi）,165米（541英尺）,,,
馬尼托巴湖,32,北美洲,淡水湖,加拿大,"4,706 km2（1,817 sq mi）",225 km（140 mi）,7米（23英尺）,,,
大鹽湖*,33,北美洲,鹹水湖,美國,"4,662 km2（1,800 sq mi）",121 km（75 mi）,10米（33英尺）,,,
青海湖*,34,亞洲,鹹水湖,中國,"4,435.69 km2（1,712.63 sq mi)",104 km（64.6 mi）,32.8米（107.6英尺）,,,東亞最大湖泊
塞馬湖,35,歐洲,淡水湖,芬蘭,"4,400 km2（1,700 sq mi）",,82米（269英尺）,36 km3（8.6 cu mi）,,
伍茲湖,36,北美洲,淡水湖,"加拿大
 美國","4,350 km2（1,680 sq mi）",110 km（68 mi）,64米（210英尺）,,,
