日期,時間,地點,經度,緯度,深度,震度,損傷
1904年4月24日,14:39,嘉義,北23.5,東120.3,-,6.1,"3人死亡
66棟房屋全毀"
1904年11月6日,4:25,嘉義一帶參見：1904年斗六地震,北23.6,東120.3,-,6.1,"145人死亡
661棟房屋全毀"
1906年3月17日,6:43,嘉義民雄參見：1906年梅山地震,北23.6,東120.5,-,7.1,"1,258人死亡
6,769棟房屋全毀"
1906年3月26日,11:29,雲林斗六,北23.7,東120.5,-,5,"1人死亡
29棟房屋全毀"
1906年4月7日,12:52,台南鹽水港,北23.4,東120.4,-,5.3,"1人死亡
63棟房屋全毀"
1906年4月14日,3:18,台南鹽水港,北23.4,東120.4,20,6.6,"15人死亡
1,794棟房屋全毀"
1908年1月11日,11:35,花蓮萬榮,北23.7,東121.4,-,7.3,"2人死亡
3棟房屋全毀"
1909年4月15日,3:54,台北,北25.0,東121.5,80,7.3,"9人死亡
122棟房屋全毀"
1910年4月12日,,基隆,,,200,8.3,
1916年8月28日,15:27,濁水溪上流參見：1916年－1917年南投地震系列,北24.0,東121.0,-,6.8,"16人死亡
614棟房屋全毀"
1916年11月15日,6:31,台中東南參見：1916年－1917年南投地震系列,北24.1,東120.9,-,6.2,"1人死亡
97棟房屋全毀"
1917年1月5日,0:55,南投埔里參見：1916年－1917年南投地震系列,北24.0,東121.0,-,6.2,"54人死亡
130棟房屋全毀"
1917年1月7日,2:08,南投埔里參見：1916年－1917年南投地震系列,北23.9,東120.9,-,5.5,187棟房屋全毀
1920年6月5日,12:21,花蓮近海參見：1920年花蓮地震,北24.0,東122.0,-,8.3,"5人死亡
273棟房屋全毀"
1922年9月2日,3:16,蘇澳近海,北24.5,東122.2,-,7.6,"5人死亡
14棟房屋全毀"
1922年10月15日,7:47,蘇澳近海,北24.6,東122.3,-,5.9,6人死亡
1922年12月2日,11:46,蘇澳近海,北24.6,東122.0,-,6,"1人死亡
1棟房屋全毀"
1927年8月25日,2:09,台南新營,北23.3,東120.3,-,6.5,"11人死亡
214棟房屋全毀"
1930年12月8日,16:01,台南新營,北23.3,東120.4,-,6.1,"4人死亡
49棟房屋全毀"
1933年5月4日,7:30,花蓮,北24.2,東121.5,-,-,1人死亡
1935年4月21日,6:02,苗栗縣關刀山參見：1935年新竹台中地震,北24.4,東120.8,5,7.1,"3,276人死亡
17,907棟房屋全毀"
1935年7月17日,0:19,後龍溪河口,北24.6,東120.7,30,6.2,"44人死亡
1,734棟房屋全毀"
1939年11月7日,11:53,苗栗縣卓蘭,北24.4,東120.8,10,5.8,4棟房屋全毀
1941年12月17日,3:19,嘉義中埔參見：1941年中埔地震,北23.4,東120.5,12,7.1,"360死
4,520棟房屋全毀"
1943年10月23日,0:01,花蓮,北23.8,東121.5,5,6.2,"1人死亡
1棟房屋全毀"
1943年12月2日,13:09,綠島南方近海,北22.5,東121.5,40,6.1,"3人死亡
139棟房屋全毀"
1946年12月5日,6:47,台南新化參見：1946年新化地震,北23.1,東120.3,5,6.1,"74人死亡
1,954棟房屋全毀"
1951年10月22日,5:34,花蓮參見：1951年縱谷地震系列,北23.9,東121.7,4,7.3,68人死亡
1951年10月22日,11:29,花蓮參見：1951年花蓮台東地震,北24.1,東121.7,1,7.1,
1951年10月22日,13:43,花蓮參見：1951年花蓮台東地震,北23.9,東122.0,18,7.1,
1951年11月25日,2:47,台東參見：1951年花蓮台東地震,北23.1,東121.2,16,6.1,"17人死亡
1,016棟房屋全毀"
1951年11月25日,2:50,台東參見：1951年花蓮台東地震,北23.2,東121.4,36,7.3,
1955年4月4日,19:11,屏東恆春,北21.8,東120.9,5,6.8,22棟房屋全毀
1957年2月24日,4:26,花蓮,北23.8,東121.8,30,7.3,"11人死亡
44棟房屋全毀"
1957年10月20日,2:28,花蓮,北23.7,東121.5,10,6.6,4人死亡
1959年4月27日,4:41,與那國,北24.1,東123.0,150,7.7,"1人死亡
9棟房屋全毀"
1959年8月15日,16:57,屏東恆春參見：1959年恆春地震,北21.7,東121.3,20,7.1,"16人死亡
1,214棟房屋全毀"
1963年2月13日,16:50,宜蘭參見：1963年蘇澳地震,北24.4,東122.1,47,7.3,"3人死亡
6棟房屋全毀"
1963年3月4日,21:38,宜蘭,北24.6,東121.1,5,6.4,1人死亡
1964年1月18日,20:04,嘉義-台南參見：1964年白河地震,北23.2,東120.6,18,6.3,"106人死亡
10,924棟房屋全毀"
1965年5月18日,1:19,台東大武,北22.5,東120.8,21,6.5,"21棟房屋全毀
澎湖、台東有地鳴"
1966年3月13日,0:31,花蓮外海參見：1966年花蓮地震,北24.2,東122.7,42,7.8,"4人死亡
24棟房屋全毀"
1967年10月25日,8:59,宜蘭,北24.4,東122.1,20,6.1,"2人死亡
21棟房屋全毀"
1972年1月25日,10:07,台東外海,北22.5,東122.3,33,7.3,"1人死亡
5棟房屋全毀"
