年份,學科,級分,人數,百分比,"累計
人數","累計
百分比"
110,國文,15,4064,3.22,126287,100.00
110,國文,14,10241,8.11,122223,96.78
110,國文,13,17091,13.53,111982,88.67
110,國文,12,21250,16.83,94891,75.14
110,國文,11,21015,16.64,73641,58.31
110,國文,10,18078,14.32,52626,41.67
110,國文,9,13073,10.35,34548,27.36
110,國文,8,8428,6.67,21475,17.00
110,國文,7,5248,4.16,13047,10.33
110,國文,6,3279,2.60,7799,6.18
110,國文,5,2110,1.67,4520,3.58
110,國文,4,1269,1.00,2410,1.91
110,國文,3,878,0.70,1141,0.90
110,國文,2,247,0.20,263,0.21
110,國文,1,8,0.01,16,0.01
110,國文,0,8,0.01,8,0.01
110,英文,15,4895,3.89,125995,100.00
110,英文,14,8232,6.53,121100,96.11
110,英文,13,9309,7.39,112868,89.58
110,英文,12,10199,8.09,103559,82.19
110,英文,11,10234,8.12,93360,74.10
110,英文,10,9804,7.78,83126,65.98
110,英文,9,9485,7.53,73322,58.19
110,英文,8,9116,7.24,63837,50.67
110,英文,7,9084,7.21,54721,43.43
110,英文,6,9654,7.66,45637,36.22
110,英文,5,11143,8.84,35983,28.56
110,英文,4,12489,9.91,24840,19.72
110,英文,3,10061,7.99,12351,9.80
110,英文,2,2214,1.76,2290,1.82
110,英文,1,66,0.05,76,0.06
110,英文,0,10,0.01,10,0.01
110,數學,15,1558,1.26,123786,100.00
110,數學,14,1942,1.57,122228,98.74
110,數學,13,3110,2.51,120286,97.17
110,數學,12,4225,3.41,117176,94.66
110,數學,11,5662,4.57,112951,91.25
110,數學,10,7071,5.71,107289,86.67
110,數學,9,8730,7.05,100218,80.96
110,數學,8,10626,8.58,91488,73.91
110,數學,7,12580,10.16,80862,65.32
110,數學,6,14702,11.88,68282,55.16
110,數學,5,16149,13.05,53580,43.28
110,數學,4,15354,12.40,37431,30.24
110,數學,3,12551,10.14,22077,17.83
110,數學,2,7724,6.24,9526,7.70
110,數學,1,1758,1.42,1802,1.46
110,數學,0,44,0.04,44,0.04
110,社會,15,2600,2.48,104889,100.00
110,社會,14,5442,5.19,102289,97.52
110,社會,13,11877,11.32,96847,92.33
110,社會,12,12459,11.88,84970,81.01
